RX_selection,Lens_side,Lens_side_delta,Camera_side_blue,Camera_side_blue_delta,Camera_side_green,Camera_side_green_delta,Camera_side_red,Camera_side_delta_red
NoRXLens,9.254,-0.578,12.357,-0.336,12.177,-0.336,12.357,-0.336
0.65d,9.254,-0.578,12.384,-0.309,12.204,-0.309,12.384,-0.309
0d,9.832,0,12.693,0,12.513,0,12.693,0
-1d,10.734,0.902,13.212,0.519,13.032,0.519,13.212,0.519
-2d,11.592,1.76,13.739,1.046,13.539,1.026,13.739,1.046
-3d,12.457,2.625,14.259,1.566,14.079,1.566,14.209,1.516
-4d,13.231,3.399,14.808,2.115,14.648,2.135,14.808,2.115
-4d-2d,13.676,3.844,14.85,2.157,14.71,2.197,14.85,2.157
-4d-0.75d,13.563,3.731,14.848,2.155,14.668,2.155,14.848,2.155
-4d-0.75d-90deg,13.563,3.731,14.748,2.055,14.618,2.105,14.748,2.055
-4d-0.75d-135deg,13.563,3.731,14.728,2.035,14.618,2.105,14.728,2.035
-4d-1d,13.746,3.914,14.841,2.148,14.661,2.148,14.841,2.148
-2d-1d,12.238,2.406,13.691,0.998,13.511,0.998,13.691,0.998
-4d-2d-90deg,13.676,3.844,14.879,2.186,14.7,2.187,14.879,2.186
-4d-2d-135deg,13.676,3.844,14.809,2.116,14.629,2.116,14.809,2.116
0d-0.25d,10.064,0.232,12.644,-0.049,12.464,-0.049,12.644,-0.049
0d-0.5d,10.064,0.232,12.745,0.052,12.515,0.002,12.745,0.052
0d-0.75d,10.064,0.232,12.634,-0.059,12.474,-0.039,12.634,-0.059
0d-1d,10.064,0.232,12.744,0.051,12.544,0.031,12.744,0.051
0d-1.25d,10.064,0.232,12.632,-0.061,12.472,-0.041,12.632,-0.061
0d-1.5d,10.064,0.232,12.746,0.053,12.556,0.043,12.746,0.053
0d-1.75d,10.064,0.232,12.66,-0.033,12.509,-0.004,12.66,-0.033
0d-2d,10.064,0.232,12.618,-0.075,12.548,0.035,12.618,-0.075
